手机网络功能_-1,手机网络功能_0,手机网络功能_1,手机网络功能_2,账户消费限额_0,账户消费限额_1,在职总月数,家庭中唯一订阅者的数量,每月平均使用分钟数,平均占线语音呼叫数,平均未接语音呼叫数,是否流失
0,1,0,0,1,0,11,2,870,2,68,1
0,1,0,0,1,0,26,2,456,0,7,1
0,0,1,0,1,0,16,1,1091,30,19,0
0,1,0,0,1,0,14,2,313,2,11,1
0,1,0,0,1,0,13,2,1077,3,23,1
0,1,0,0,1,0,22,1,949,1,57,1
0,1,0,0,1,0,7,1,279,1,17,0
0,1,0,0,1,0,14,1,181,0,0,0
0,0,1,0,1,0,18,1,225,0,12,0
0,1,0,0,1,0,9,1,12,0,0,0
0,0,0,1,1,0,12,2,0,0,0,1
0,1,0,0,1,0,11,1,125,0,7,1
0,1,0,0,0,1,11,1,462,1,57,1
0,0,1,0,1,0,36,2,5,0,0,0
0,1,0,0,1,0,28,5,297,0,21,0
0,0,1,0,1,0,21,1,208,3,11,1
0,1,0,0,1,0,19,2,557,9,40,1
0,1,0,0,1,0,15,1,1515,1,79,1
0,1,0,0,1,0,29,1,688,2,26,1
0,0,1,0,1,0,29,2,180,0,7,1
0,1,0,0,1,0,33,1,491,6,7,0
0,0,1,0,1,0,18,1,306,2,8,0
0,1,0,0,1,0,24,1,187,0,11,0
0,1,0,0,1,0,11,3,35,0,2,1
0,1,0,0,1,0,14,1,238,8,9,1
0,0,1,0,1,0,33,1,112,0,3,1
0,1,0,0,1,0,8,1,1242,7,113,1
0,1,0,0,1,0,13,1,259,5,48,0
0,0,1,0,1,0,27,1,806,1,35,1
0,1,0,0,1,0,20,1,267,1,20,1
0,1,0,0,1,0,11,2,91,0,0,1
0,1,0,0,1,0,25,1,172,0,0,1
0,1,0,0,1,0,11,1,536,0,21,0
0,1,0,0,1,0,20,1,1302,0,16,0
0,1,0,0,1,0,17,1,617,27,46,0
0,1,0,0,1,0,24,1,1083,0,20,0
0,0,1,0,1,0,32,1,139,0,5,0
0,1,0,0,1,0,17,1,617,0,11,1
0,0,1,0,1,0,26,2,88,0,8,0
0,1,0,0,1,0,16,1,69,0,14,0
0,0,0,1,1,0,17,2,137,0,3,1
0,1,0,0,1,0,8,2,294,0,13,0
0,1,0,0,0,1,10,1,0,0,0,1
0,1,0,0,1,0,16,2,63,0,0,0
0,1,0,0,1,0,19,1,886,26,22,0
0,0,1,0,1,0,31,2,1136,2,80,1
0,1,0,0,1,0,15,2,173,0,27,0
0,0,1,0,1,0,10,1,89,0,2,0
0,1,0,0,1,0,21,1,1009,10,92,0
0,1,0,0,1,0,11,1,376,5,22,1
0,0,1,0,1,0,13,1,678,4,32,0
0,1,0,0,1,0,8,2,234,0,49,1
0,1,0,0,1,0,11,1,1017,0,35,1
0,0,1,0,1,0,25,2,42,0,1,0
0,1,0,0,1,0,16,2,164,0,0,0
0,0,1,0,1,0,23,1,2,0,0,1
0,0,0,1,1,0,26,1,53,0,6,0
0,1,0,0,1,0,17,2,21,0,1,1
0,1,0,0,1,0,9,2,737,0,27,0
0,0,1,0,1,0,47,1,70,0,2,1
0,1,0,0,1,0,18,2,377,2,30,1
0,1,0,0,0,1,11,1,298,4,21,1
0,1,0,0,1,0,12,1,269,2,14,1
0,1,0,0,1,0,51,1,1272,0,42,0
0,1,0,0,1,0,7,1,921,29,20,1
0,1,0,0,1,0,26,1,1173,0,39,1
0,0,0,1,1,0,19,1,125,6,20,1
0,1,0,0,1,0,23,2,1579,0,42,0
0,1,0,0,1,0,34,1,220,0,13,0
0,0,0,1,1,0,23,1,306,8,25,1
0,1,0,0,1,0,10,1,68,2,7,1
0,1,0,0,0,1,8,1,1929,210,84,0
0,1,0,0,0,1,11,1,568,0,32,0
0,1,0,0,1,0,18,1,1067,3,29,1
0,1,0,0,1,0,15,2,1100,0,0,0
0,1,0,0,1,0,14,1,92,0,8,1
0,0,0,1,0,1,26,1,634,0,28,1
0,1,0,0,1,0,12,3,438,5,39,1
0,1,0,0,1,0,18,1,1347,1,35,1
0,1,0,0,1,0,15,4,93,0,4,1
0,1,0,0,1,0,20,2,674,20,21,1
0,1,0,0,1,0,20,2,204,0,7,0
0,1,0,0,1,0,37,1,143,13,7,0
0,1,0,0,1,0,11,2,1152,3,42,1
0,1,0,0,1,0,25,1,516,2,44,1
0,1,0,0,1,0,11,1,1376,10,123,0
0,0,0,1,1,0,29,1,852,3,25,0
0,1,0,0,1,0,12,1,243,0,20,1
0,1,0,0,1,0,27,1,291,0,25,0
0,1,0,0,1,0,6,1,704,0,38,1
0,0,0,1,1,0,39,5,0,0,0,1
0,0,1,0,1,0,28,1,3,0,0,1
0,0,0,1,1,0,25,1,65,0,5,1
0,0,1,0,1,0,25,1,261,1,64,0
0,1,0,0,1,0,25,1,662,0,6,1
0,1,0,0,0,1,11,1,583,21,31,1
0,1,0,0,1,0,17,1,303,5,25,0
0,1,0,0,1,0,11,1,779,83,14,1
0,1,0,0,1,0,14,1,239,3,13,1
0,0,1,0,1,0,19,3,196,1,20,1
0,1,0,0,1,0,22,1,1126,1,26,0
0,1,0,0,1,0,8,1,335,0,16,1
0,1,0,0,1,0,34,3,1114,4,93,0
0,1,0,0,1,0,38,1,631,6,35,0
0,1,0,0,1,0,9,1,581,16,4,0
0,1,0,0,1,0,17,1,667,4,13,0
0,1,0,0,1,0,12,1,495,0,0,1
0,1,0,0,0,1,8,1,306,3,14,0
0,0,1,0,1,0,17,1,462,6,22,1
0,1,0,0,1,0,15,1,129,0,6,0
0,1,0,0,1,0,16,1,124,0,0,1
0,1,0,0,1,0,12,1,13,0,2,1
0,1,0,0,1,0,16,1,408,0,35,1
0,1,0,0,0,1,8,1,1429,81,16,1
0,1,0,0,1,0,23,1,705,3,52,0
0,1,0,0,1,0,8,1,1595,31,294,0
0,0,1,0,1,0,30,2,1239,17,61,1
0,0,0,1,1,0,48,3,145,0,7,1
0,1,0,0,1,0,24,1,637,4,45,0
0,1,0,0,1,0,28,1,496,2,19,0
0,1,0,0,1,0,11,1,100,0,0,1
0,1,0,0,1,0,48,1,1208,6,45,1
0,1,0,0,1,0,19,1,138,0,4,1
0,1,0,0,1,0,15,2,55,0,1,0
0,1,0,0,1,0,17,1,707,2,52,1
0,1,0,0,0,1,12,1,2068,14,120,1
0,1,0,0,0,1,11,1,18,1,2,1
0,1,0,0,1,0,18,1,75,0,3,0
0,0,1,0,1,0,25,1,199,0,16,1
0,1,0,0,1,0,9,1,1225,1,156,0
0,1,0,0,1,0,12,3,107,4,2,0
0,1,0,0,1,0,23,2,151,3,9,1
0,1,0,0,0,1,9,1,735,5,41,0
0,0,0,1,1,0,33,3,29,0,1,1
0,1,0,0,1,0,8,1,0,0,0,1
0,1,0,0,1,0,10,1,0,0,0,1
0,0,1,0,1,0,25,3,216,2,10,1
0,1,0,0,1,0,20,1,116,2,1,0
0,0,1,0,1,0,25,1,188,0,9,0
0,0,1,0,1,0,31,1,728,3,73,0
0,1,0,0,1,0,35,1,54,0,0,1
0,0,0,1,1,0,39,1,234,0,5,1
0,1,0,0,1,0,26,1,98,0,4,0
0,1,0,0,1,0,8,6,995,9,65,1
0,1,0,0,1,0,20,1,491,5,9,1
0,1,0,0,0,1,10,1,1254,9,118,0
0,0,1,0,1,0,16,1,16,3,1,0
0,1,0,0,1,0,14,1,282,0,28,0
0,0,1,0,1,0,26,2,413,2,19,1
0,1,0,0,1,0,9,1,687,29,44,1
0,1,0,0,0,1,11,1,649,15,81,0
0,1,0,0,1,0,8,2,272,0,13,0
0,1,0,0,1,0,14,1,371,0,20,0
0,1,0,0,0,1,10,1,445,0,33,0
0,1,0,0,0,1,9,1,727,10,70,0
0,1,0,0,1,0,23,1,8,0,0,1
0,1,0,0,1,0,12,1,169,3,9,0
0,1,0,0,1,0,38,1,132,0,9,1
0,1,0,0,1,0,21,2,133,0,4,0
0,1,0,0,1,0,8,1,984,0,12,0
0,0,0,1,1,0,7,3,256,1,10,1
0,1,0,0,0,1,13,1,22,0,1,0
0,1,0,0,1,0,47,2,553,0,26,1
0,1,0,0,1,0,27,1,49,0,1,0
0,1,0,0,1,0,26,1,551,2,29,1
0,0,0,1,1,0,22,4,0,0,0,1
0,1,0,0,1,0,7,1,117,2,5,0
0,0,1,0,1,0,28,2,82,0,2,1
0,1,0,0,1,0,31,2,667,9,32,0
0,1,0,0,1,0,18,1,1482,2,46,0
0,1,0,0,1,0,21,2,1098,1,24,1
0,1,0,0,1,0,17,1,736,1,20,0
0,1,0,0,1,0,22,1,339,0,12,1
0,1,0,0,1,0,25,1,571,1,16,0
0,1,0,0,1,0,17,1,926,7,53,1
0,1,0,0,1,0,8,2,400,0,42,1
0,1,0,0,1,0,12,2,14,0,2,1
0,1,0,0,1,0,18,2,2101,31,134,1
0,0,0,1,1,0,22,1,391,5,9,0
0,1,0,0,1,0,8,1,2152,9,117,0
0,1,0,0,1,0,24,1,582,5,29,0
0,1,0,0,1,0,9,3,2067,13,151,0
0,1,0,0,1,0,9,1,288,2,21,1
0,1,0,0,1,0,17,2,550,0,0,1
0,0,1,0,1,0,30,1,85,0,2,1
0,1,0,0,1,0,30,2,72,0,1,0
0,1,0,0,1,0,19,1,639,1,19,1
0,1,0,0,1,0,32,2,446,0,18,1
0,1,0,0,1,0,8,1,656,14,33,0
0,1,0,0,0,1,8,1,1781,11,106,1
0,1,0,0,1,0,9,1,832,1,58,0
0,1,0,0,0,1,8,1,1037,9,27,1
0,0,0,1,1,0,19,1,234,0,11,0
0,1,0,0,1,0,8,2,252,0,0,0
0,1,0,0,1,0,11,2,192,1,50,1
0,1,0,0,1,0,18,1,490,2,24,0
0,1,0,0,1,0,33,1,29,0,30,1
0,1,0,0,1,0,14,1,190,0,0,1
0,1,0,0,1,0,7,1,162,0,7,0
0,1,0,0,1,0,9,1,424,10,3,0
0,1,0,0,1,0,14,1,1193,11,85,0
0,1,0,0,1,0,16,1,987,0,22,1
0,1,0,0,1,0,8,2,139,0,3,0
0,1,0,0,1,0,10,1,306,1,15,0
0,1,0,0,1,0,8,1,117,0,0,0
0,1,0,0,1,0,23,1,608,4,32,0
0,1,0,0,1,0,9,1,676,1,9,0
0,1,0,0,1,0,23,1,633,1,33,1
0,1,0,0,1,0,10,2,388,3,27,1
0,1,0,0,1,0,7,1,925,2,59,0
0,1,0,0,1,0,12,2,99,0,16,1
0,1,0,0,1,0,13,1,1571,30,22,0
0,1,0,0,1,0,13,1,828,13,91,1
0,1,0,0,1,0,7,1,517,3,28,1
0,1,0,0,1,0,19,2,87,3,3,1
0,0,0,1,1,0,28,1,36,0,2,1
0,1,0,0,1,0,11,1,709,4,32,0
0,1,0,0,1,0,23,1,477,19,24,1
0,1,0,0,1,0,15,2,944,32,35,0
0,1,0,0,1,0,37,1,439,1,51,0
0,1,0,0,1,0,12,1,28,0,0,1
0,1,0,0,1,0,18,2,373,6,16,0
0,1,0,0,0,1,14,1,1217,0,34,0
0,1,0,0,1,0,24,1,69,0,3,1
0,1,0,0,1,0,17,1,182,0,3,0
0,1,0,0,1,0,22,1,979,15,67,0
0,1,0,0,1,0,19,2,139,1,4,1
0,1,0,0,0,1,9,1,335,2,26,0
0,1,0,0,0,1,12,1,548,1,41,0
0,0,1,0,1,0,12,1,112,6,3,1
0,1,0,0,1,0,14,2,1466,0,39,1
0,0,1,0,1,0,31,1,400,9,36,1
0,1,0,0,1,0,21,3,577,1,53,0
0,1,0,0,1,0,14,2,325,0,41,1
0,0,1,0,1,0,7,3,593,2,34,1
0,1,0,0,1,0,26,1,142,0,0,0
0,1,0,0,1,0,25,1,627,1,22,0
0,1,0,0,1,0,12,1,125,0,6,1
0,1,0,0,1,0,15,1,746,5,97,1
0,0,1,0,1,0,29,1,259,0,19,1
0,1,0,0,1,0,13,4,344,3,13,1
0,0,0,1,1,0,11,2,1188,0,0,0
1,0,0,0,1,0,13,1,625,0,0,0
0,1,0,0,1,0,27,1,101,9,11,0
0,1,0,0,1,0,19,1,730,2,22,0
0,0,0,1,1,0,34,1,286,0,19,1
0,0,1,0,1,0,37,1,306,0,26,1
0,1,0,0,1,0,35,1,367,2,24,0
0,1,0,0,0,1,13,1,957,49,23,0
0,0,0,1,1,0,31,1,919,3,90,0
0,1,0,0,1,0,31,1,499,6,20,1
0,1,0,0,1,0,8,1,1201,2,14,0
0,1,0,0,1,0,20,1,251,0,10,0
0,1,0,0,0,1,10,1,588,18,33,0
0,1,0,0,1,0,12,1,301,0,8,0
0,1,0,0,1,0,24,1,381,0,26,0
0,1,0,0,0,1,9,1,187,0,14,1
0,1,0,0,1,0,20,2,311,3,18,0
0,1,0,0,1,0,15,2,1110,18,89,1
0,1,0,0,1,0,11,1,2253,78,60,1
0,1,0,0,0,1,10,1,120,0,0,0
0,1,0,0,1,0,21,4,1617,12,139,0
0,1,0,0,1,0,28,1,983,22,36,0
0,1,0,0,1,0,23,1,816,4,18,1
0,1,0,0,1,0,19,1,279,5,36,1
0,1,0,0,1,0,13,1,421,2,38,0
0,1,0,0,1,0,44,2,595,13,61,0
0,1,0,0,1,0,7,1,183,1,15,0
0,1,0,0,1,0,9,1,193,2,13,1
0,1,0,0,1,0,19,1,400,1,20,0
0,1,0,0,0,1,14,1,543,0,64,1
0,1,0,0,1,0,9,1,122,0,11,1
0,1,0,0,1,0,54,1,1020,4,25,1
0,1,0,0,1,0,15,1,703,0,0,0
0,0,0,1,1,0,37,1,136,1,6,0
0,1,0,0,1,0,19,1,297,0,25,1
0,1,0,0,1,0,27,1,277,1,6,0
0,1,0,0,1,0,10,1,25,0,0,0
0,1,0,0,1,0,7,1,452,1,2,0
0,1,0,0,1,0,13,1,349,0,9,0
0,1,0,0,1,0,24,1,1486,12,56,1
0,1,0,0,1,0,7,1,474,1,27,1
0,1,0,0,1,0,8,1,317,1,16,0
0,1,0,0,1,0,11,1,998,0,44,1
0,0,0,1,1,0,21,3,416,1,21,0
0,1,0,0,1,0,30,1,123,0,6,1
0,1,0,0,1,0,19,2,127,0,12,1
0,1,0,0,1,0,13,2,500,2,7,1
0,1,0,0,1,0,27,1,6,0,0,0
0,1,0,0,1,0,30,2,378,0,61,1
0,0,0,1,1,0,30,1,132,5,4,1
0,0,1,0,1,0,16,1,19,0,2,1
0,1,0,0,1,0,7,3,98,2,12,0
0,1,0,0,1,0,17,1,2176,10,62,0
0,1,0,0,1,0,13,2,72,0,0,1
0,1,0,0,1,0,14,2,394,1,13,1
0,1,0,0,1,0,49,3,343,2,27,1
0,1,0,0,1,0,19,1,520,3,8,0
0,1,0,0,1,0,24,1,36,0,2,0
0,1,0,0,1,0,12,3,143,0,4,0
0,1,0,0,1,0,12,1,242,2,14,1
0,1,0,0,1,0,23,1,1002,0,49,1
0,0,1,0,1,0,17,1,0,0,0,0
0,1,0,0,1,0,11,2,376,14,43,1
0,1,0,0,0,1,11,1,864,0,15,1
0,1,0,0,1,0,8,1,164,4,5,0
0,1,0,0,1,0,18,1,164,0,3,1
0,1,0,0,0,1,24,2,-1,0,0,1
0,1,0,0,1,0,7,1,416,14,13,1
0,0,0,1,1,0,47,2,1055,6,25,0
0,0,1,0,1,0,31,1,51,0,0,1
0,1,0,0,1,0,7,1,692,1,46,1
0,0,1,0,1,0,23,1,183,0,6,1
0,1,0,0,1,0,11,1,31,0,1,1
0,1,0,0,1,0,10,1,736,0,2,0
0,1,0,0,0,1,7,2,169,0,5,0
0,1,0,0,1,0,45,1,295,1,4,1
0,1,0,0,1,0,25,2,995,3,21,0
0,1,0,0,0,1,20,2,644,11,73,0
0,0,1,0,1,0,28,1,436,0,31,0
0,0,1,0,1,0,27,2,775,1,92,0
0,1,0,0,1,0,13,4,184,1,4,0
0,1,0,0,0,1,11,1,335,0,11,1
0,1,0,0,1,0,10,1,315,0,2,1
0,1,0,0,1,0,25,2,864,0,84,0
0,1,0,0,1,0,25,3,899,6,29,0
0,1,0,0,1,0,12,1,143,0,33,1
0,1,0,0,0,1,6,1,5,0,0,0
0,0,0,1,1,0,19,1,60,0,4,0
0,1,0,0,1,0,13,1,1079,3,42,1
0,1,0,0,1,0,11,1,714,0,0,1
0,0,0,1,1,0,25,1,119,0,5,0
0,1,0,0,1,0,48,2,1273,0,124,0
0,1,0,0,1,0,22,1,263,1,7,1
0,1,0,0,1,0,30,1,95,0,5,1
0,1,0,0,1,0,20,1,273,6,12,1
0,1,0,0,1,0,18,1,393,1,33,1
0,1,0,0,1,0,7,1,1075,7,83,0
0,0,1,0,1,0,45,2,0,0,0,1
0,1,0,0,1,0,14,3,1013,10,78,1
0,1,0,0,1,0,31,1,381,0,26,1
0,1,0,0,1,0,12,1,328,0,6,0
0,1,0,0,1,0,8,1,1040,2,54,1
0,1,0,0,1,0,35,2,409,0,20,0
0,0,0,1,1,0,25,2,189,0,1,1
0,1,0,0,1,0,33,3,281,3,43,1
0,1,0,0,0,1,7,1,931,8,38,0
0,1,0,0,1,0,39,2,926,10,36,0
0,1,0,0,1,0,27,1,861,7,72,0
0,0,0,1,1,0,25,1,9,0,1,1
0,1,0,0,1,0,15,1,405,0,1,1
0,0,1,0,1,0,24,2,550,11,24,1
0,0,1,0,1,0,16,3,0,0,0,0
0,0,1,0,1,0,39,2,2,0,0,1
0,1,0,0,1,0,11,1,325,0,26,1
0,1,0,0,1,0,11,1,2286,2,163,0
0,1,0,0,1,0,6,1,564,2,41,0
0,1,0,0,1,0,15,1,230,0,0,1
0,1,0,0,1,0,36,2,375,1,23,0
0,1,0,0,1,0,14,1,957,0,19,1
0,1,0,0,1,0,36,3,2631,8,70,0
0,1,0,0,1,0,12,2,96,0,0,1
0,1,0,0,1,0,9,1,761,9,13,1
0,1,0,0,0,1,11,1,941,0,0,1
0,1,0,0,0,1,14,1,663,1,46,1
0,1,0,0,1,0,7,3,2097,28,48,1
0,1,0,0,1,0,17,2,1012,0,0,0
0,1,0,0,1,0,16,1,48,0,8,0
0,1,0,0,0,1,14,1,824,3,54,0
0,1,0,0,0,1,11,1,322,0,3,0
0,1,0,0,1,0,16,1,407,2,25,0
0,0,1,0,1,0,10,1,488,24,21,1
0,1,0,0,1,0,23,1,280,2,11,1
0,1,0,0,1,0,10,1,146,0,15,0
0,0,1,0,1,0,29,1,57,0,1,0
0,1,0,0,1,0,32,2,966,0,2,0
0,0,1,0,1,0,23,1,249,1,7,1
0,0,0,1,1,0,33,3,53,0,1,0
0,1,0,0,1,0,18,1,2019,7,174,1
0,0,0,1,1,0,42,1,29,0,1,1
0,1,0,0,1,0,10,2,106,2,8,0
0,0,1,0,1,0,33,1,409,2,21,1
0,1,0,0,1,0,19,1,109,0,5,1
0,0,1,0,1,0,24,1,332,2,8,1
0,0,0,1,1,0,23,2,286,1,27,0
0,1,0,0,1,0,22,1,160,0,7,0
0,1,0,0,0,1,7,1,400,0,34,1
0,0,1,0,1,0,18,2,1676,3,25,1
0,1,0,0,1,0,6,2,1167,1,74,1
0,1,0,0,1,0,17,1,586,0,62,1
0,1,0,0,1,0,10,1,11,0,1,0
0,1,0,0,1,0,29,1,929,6,56,0
0,0,0,1,1,0,33,1,756,2,34,1
0,1,0,0,1,0,9,4,511,3,27,1
0,1,0,0,1,0,7,1,65,0,10,0
0,0,0,1,1,0,41,2,116,0,0,1
0,1,0,0,0,1,17,1,1085,38,294,1
0,1,0,0,1,0,24,1,38,0,1,1
0,1,0,0,1,0,8,4,186,0,19,0
0,1,0,0,1,0,14,1,635,1,11,1
0,1,0,0,1,0,18,1,904,2,39,0
0,0,0,1,1,0,55,1,2,0,0,0
1,0,0,0,0,1,46,1,183,0,10,0
0,1,0,0,1,0,17,1,537,0,7,1
0,1,0,0,1,0,12,1,11,0,0,1
0,1,0,0,1,0,9,1,609,2,20,1
0,0,0,1,1,0,54,1,0,0,0,1
0,0,0,1,1,0,26,1,264,0,21,1
0,0,1,0,1,0,45,2,160,0,9,0
0,0,1,0,1,0,28,1,1,0,0,1
0,1,0,0,1,0,8,1,339,0,28,0
0,1,0,0,0,1,11,1,317,0,23,1
0,1,0,0,1,0,15,1,236,0,10,0
0,1,0,0,1,0,8,1,1010,0,0,0
0,1,0,0,0,1,14,1,263,0,22,0
0,1,0,0,1,0,14,1,453,4,22,0
0,1,0,0,1,0,11,1,174,0,0,1
0,1,0,0,1,0,14,1,86,4,30,1
0,0,0,1,1,0,28,1,8,0,1,1
0,1,0,0,1,0,13,2,224,0,0,1
0,1,0,0,1,0,11,1,421,0,21,0
0,1,0,0,1,0,13,1,619,18,26,1
0,0,0,1,1,0,27,1,36,0,0,1
0,1,0,0,1,0,15,4,197,1,20,1
0,1,0,0,1,0,28,1,88,2,10,1
0,0,1,0,1,0,17,1,609,76,54,1
0,1,0,0,1,0,16,1,292,0,29,1
0,1,0,0,1,0,11,1,134,0,8,1
0,1,0,0,1,0,32,1,752,3,45,0
0,1,0,0,1,0,9,1,838,30,61,1
0,1,0,0,1,0,13,1,72,0,0,1
0,1,0,0,1,0,13,1,326,0,33,1
0,0,1,0,1,0,25,1,399,1,63,1
0,0,1,0,1,0,15,2,97,0,1,1
0,1,0,0,1,0,11,1,572,2,32,1
0,1,0,0,0,1,9,1,170,1,12,0
0,1,0,0,1,0,13,1,2760,3,86,0
0,1,0,0,1,0,22,2,793,3,32,1
0,1,0,0,1,0,23,1,215,1,12,1
0,1,0,0,1,0,12,1,141,0,5,1
0,1,0,0,1,0,22,2,208,1,25,1
0,0,1,0,1,0,22,1,329,8,12,1
0,1,0,0,1,0,35,1,1125,0,0,0
0,1,0,0,0,1,8,1,584,1,71,0
0,0,1,0,1,0,37,2,1,0,0,1
0,1,0,0,1,0,19,1,3,0,2,0
0,1,0,0,1,0,11,1,136,0,6,1
0,1,0,0,1,0,22,1,559,1,51,1
0,1,0,0,0,1,7,1,83,0,4,1
0,1,0,0,1,0,12,1,404,10,13,1
0,1,0,0,1,0,10,1,642,1,20,0
0,1,0,0,1,0,18,2,147,0,5,0
0,1,0,0,1,0,13,1,210,1,21,1
0,1,0,0,1,0,26,1,152,0,5,1
0,1,0,0,0,1,8,1,1706,9,102,0
0,1,0,0,1,0,25,2,181,0,8,0
0,1,0,0,1,0,22,1,0,0,0,1
0,1,0,0,1,0,28,1,918,3,72,0
0,1,0,0,1,0,7,1,814,0,16,1
0,1,0,0,1,0,10,1,57,0,6,0
0,1,0,0,1,0,11,4,248,0,14,0
0,1,0,0,1,0,23,1,997,0,36,1
0,1,0,0,1,0,6,1,354,0,10,0
0,0,1,0,1,0,29,2,299,1,4,0
0,0,1,0,1,0,24,1,383,2,15,1
0,1,0,0,1,0,30,1,968,7,39,1
0,1,0,0,1,0,13,2,753,6,16,1
0,1,0,0,1,0,10,1,610,4,15,0
0,1,0,0,0,1,21,1,11,0,2,0
0,1,0,0,1,0,21,1,1021,9,41,1
0,1,0,0,0,1,12,1,354,15,74,1
0,1,0,0,0,1,10,1,340,10,19,1
0,1,0,0,1,0,11,1,67,0,2,0
0,1,0,0,1,0,20,1,758,0,24,1
0,1,0,0,1,0,19,2,287,0,14,1
0,1,0,0,1,0,8,1,763,7,39,0
0,1,0,0,1,0,14,1,1355,46,8,0
0,1,0,0,1,0,7,1,44,1,5,1
0,1,0,0,1,0,7,2,91,0,1,0
0,0,1,0,1,0,18,2,379,1,28,0
0,0,1,0,1,0,28,1,547,1,18,0
0,0,1,0,1,0,20,2,18,0,1,0
0,1,0,0,0,1,12,1,1107,2,117,1
0,1,0,0,1,0,15,1,332,0,21,1
0,1,0,0,1,0,11,2,184,1,14,1
0,1,0,0,1,0,13,3,539,1,31,1
0,1,0,0,1,0,11,1,40,0,1,1
0,1,0,0,1,0,28,1,240,0,35,0
0,1,0,0,1,0,25,1,889,21,41,0
0,1,0,0,1,0,21,1,301,3,11,1
0,1,0,0,1,0,7,1,773,3,38,1
0,1,0,0,0,1,11,1,250,39,25,0
0,1,0,0,1,0,9,2,0,0,0,1
0,1,0,0,1,0,12,2,768,0,33,0
0,0,1,0,1,0,17,2,132,0,12,1
0,1,0,0,1,0,26,2,895,2,64,0
0,1,0,0,1,0,16,1,546,1,7,0
0,1,0,0,1,0,31,1,101,4,9,0
0,1,0,0,1,0,11,1,111,0,24,0
0,1,0,0,1,0,23,1,767,8,22,0
0,1,0,0,1,0,10,2,548,9,26,0
0,1,0,0,1,0,33,1,722,6,38,0
0,1,0,0,1,0,28,2,643,11,15,1
0,1,0,0,1,0,22,4,285,2,31,1
0,1,0,0,1,0,13,1,39,0,4,1
0,1,0,0,1,0,13,1,628,0,29,1
