在职总月数,每月平均使用分钟数,平均未接语音呼叫数,是否流失
11,192,50,1
18,490,24,0
33,29,30,1
14,190,0,1
7,162,7,0
9,424,3,0
14,1193,85,0
16,987,22,1
8,139,3,0
10,306,15,0
8,117,0,0
23,608,32,0
9,676,9,0
23,633,33,1
10,388,27,1
7,925,59,0
12,99,16,1
13,1571,22,0
13,828,91,1
7,517,28,1
19,87,3,1
28,36,2,1
11,709,32,0
23,477,24,1
15,944,35,0
37,439,51,0
12,28,0,1
18,373,16,0
14,1217,34,0
24,69,3,1
17,182,3,0
22,979,67,0
19,139,4,1
9,335,26,0
12,548,41,0
12,112,3,1
14,1466,39,1
31,400,36,1
21,577,53,0
14,325,41,1
7,593,34,1
26,142,0,0
25,627,22,0
12,125,6,1
15,746,97,1
29,259,19,1
13,344,13,1
11,1188,0,0
13,625,0,0
27,101,11,0
19,730,22,0
34,286,19,1
37,306,26,1
35,367,24,0
13,957,23,0
31,919,90,0
31,499,20,1
8,1201,14,0
20,251,10,0
10,588,33,0
12,301,8,0
24,381,26,0
9,187,14,1
20,311,18,0
15,1110,89,1
11,2253,60,1
10,120,0,0
21,1617,139,0
28,983,36,0
23,816,18,1
19,279,36,1
13,421,38,0
44,595,61,0
7,183,15,0
9,193,13,1
19,400,20,0
14,543,64,1
9,122,11,1
54,1020,25,1
15,703,0,0
37,136,6,0
19,297,25,1
27,277,6,0
10,25,0,0
7,452,2,0
13,349,9,0
24,1486,56,1
7,474,27,1
8,317,16,0
11,998,44,1
21,416,21,0
30,123,6,1
19,127,12,1
13,500,7,1
27,6,0,0
30,378,61,1
30,132,4,1
16,19,2,1
7,98,12,0
17,2176,62,0
13,72,0,1
14,394,13,1
49,343,27,1
19,520,8,0
24,36,2,0
12,143,4,0
12,242,14,1
23,1002,49,1
17,0,0,0
11,376,43,1
11,864,15,1
8,164,5,0
18,164,3,1
24,-1,0,1
7,416,13,1
47,1055,25,0
31,51,0,1
7,692,46,1
23,183,6,1
11,31,1,1
10,736,2,0
7,169,5,0
45,295,4,1
25,995,21,0
20,644,73,0
28,436,31,0
27,775,92,0
13,184,4,0
11,335,11,1
10,315,2,1
25,864,84,0
25,899,29,0
12,143,33,1
6,5,0,0
19,60,4,0
13,1079,42,1
11,714,0,1
25,119,5,0
48,1273,124,0
22,263,7,1
30,95,5,1
20,273,12,1
18,393,33,1
7,1075,83,0
45,0,0,1
14,1013,78,1
31,381,26,1
12,328,6,0
8,1040,54,1
35,409,20,0
25,189,1,1
33,281,43,1
7,931,38,0
39,926,36,0
27,861,72,0
25,9,1,1
15,405,1,1
24,550,24,1
16,0,0,0
39,2,0,1
11,325,26,1
11,2286,163,0
6,564,41,0
15,230,0,1
36,375,23,0
14,957,19,1
36,2631,70,0
12,96,0,1
9,761,13,1
11,941,0,1
14,663,46,1
7,2097,48,1
17,1012,0,0
16,48,8,0
14,824,54,0
11,322,3,0
16,407,25,0
10,488,21,1
23,280,11,1
10,146,15,0
29,57,1,0
32,966,2,0
23,249,7,1
33,53,1,0
18,2019,174,1
42,29,1,1
10,106,8,0
33,409,21,1
19,109,5,1
24,332,8,1
23,286,27,0
22,160,7,0
7,400,34,1
18,1676,25,1
6,1167,74,1
17,586,62,1
10,11,1,0
29,929,56,0
33,756,34,1
9,511,27,1
7,65,10,0
41,116,0,1
17,1085,294,1
24,38,1,1
8,186,19,0
14,635,11,1
18,904,39,0
55,2,0,0
46,183,10,0
17,537,7,1
12,11,0,1
9,609,20,1
54,0,0,1
26,264,21,1
45,160,9,0
28,1,0,1
8,339,28,0
11,317,23,1
15,236,10,0
8,1010,0,0
14,263,22,0
14,453,22,0
11,174,0,1
14,86,30,1
28,8,1,1
13,224,0,1
11,421,21,0
13,619,26,1
27,36,0,1
15,197,20,1
28,88,10,1
17,609,54,1
16,292,29,1
11,134,8,1
32,752,45,0
9,838,61,1
13,72,0,1
13,326,33,1
25,399,63,1
15,97,1,1
11,572,32,1
9,170,12,0
13,2760,86,0
22,793,32,1
23,215,12,1
12,141,5,1
22,208,25,1
22,329,12,1
35,1125,0,0
8,584,71,0
37,1,0,1
19,3,2,0
11,136,6,1
22,559,51,1
7,83,4,1
12,404,13,1
10,642,20,0
18,147,5,0
13,210,21,1
26,152,5,1
8,1706,102,0
25,181,8,0
22,0,0,1
28,918,72,0
7,814,16,1
10,57,6,0
11,248,14,0
23,997,36,1
6,354,10,0
29,299,4,0
24,383,15,1
30,968,39,1
13,753,16,1
10,610,15,0
21,11,2,0
21,1021,41,1
12,354,74,1
10,340,19,1
11,67,2,0
20,758,24,1
19,287,14,1
8,763,39,0
14,1355,8,0
7,44,5,1
7,91,1,0
18,379,28,0
28,547,18,0
20,18,1,0
12,1107,117,1
15,332,21,1
11,184,14,1
13,539,31,1
11,40,1,1
28,240,35,0
25,889,41,0
21,301,11,1
7,773,38,1
11,250,25,0
9,0,0,1
12,768,33,0
17,132,12,1
26,895,64,0
16,546,7,0
31,101,9,0
11,111,24,0
23,767,22,0
10,548,26,0
33,722,38,0
28,643,15,1
22,285,31,1
13,39,4,1
13,628,29,1
31,0,0,1
20,3,0,1
31,515,75,0
14,71,9,1
10,207,10,1
12,342,20,1
17,101,4,0
44,11,16,0
11,202,5,1
7,492,11,0
23,348,8,0
17,1235,29,1
20,1824,46,1
31,15,0,1
20,925,61,1
25,90,3,1
24,76,4,1
29,33,0,0
32,455,11,0
34,192,7,1
13,38,1,1
11,1151,41,1
17,11,2,0
21,346,16,1
12,88,6,0
22,346,11,0
24,51,6,1
18,1500,52,1
23,240,5,0
26,700,26,0
24,198,14,1
33,1073,78,1
14,181,0,0
15,35,3,1
19,586,39,0
13,389,28,0
21,256,18,1
7,256,5,0
14,375,0,0
10,768,47,0
22,41,3,0
16,307,17,1
15,720,32,1
12,270,0,1
10,884,70,0
16,24,2,1
29,657,32,1
12,1200,70,0
12,62,5,1
22,769,20,1
17,966,28,1
19,1173,50,1
9,654,41,0
8,141,15,0
12,115,13,1
13,446,31,0
9,573,70,0
32,596,0,0
25,419,11,0
37,384,5,1
10,1212,117,0
14,135,0,1
26,123,14,1
9,275,24,0
19,36,7,0
31,326,20,1
8,673,192,0
27,123,3,0
12,1205,67,0
12,264,21,1
14,1063,62,1
25,29,6,1
11,683,23,0
8,336,12,0
7,78,9,0
26,42,0,0
11,322,15,1
15,1464,42,1
17,287,6,1
14,250,1,1
22,394,35,1
21,55,2,1
14,371,14,1
18,155,3,1
25,1969,118,0
30,23,0,0
14,64,6,0
12,368,0,0
11,1109,65,0
9,1697,79,0
14,1913,69,0
28,621,0,1
16,298,23,1
13,95,0,1
22,374,17,0
25,68,2,1
7,727,26,0
20,338,8,0
20,464,9,0
16,219,22,1
8,92,9,1
7,285,9,0
18,570,14,0
20,285,35,1
10,56,3,1
18,3,1,0
25,2394,119,0
18,252,12,1
24,28,5,1
13,134,8,1
15,308,24,0
12,223,5,0
29,4,1,1
13,564,19,1
41,28,0,0
9,1988,0,0
15,556,13,1
22,8,0,1
11,94,3,1
10,1344,114,0
20,71,7,1
29,502,28,1
18,184,10,0
14,35,0,0
8,185,2,0
21,415,27,0
12,185,7,1
35,4,1,0
26,269,62,0
13,568,32,0
22,591,32,1
12,540,11,0
29,2168,5,1
39,1439,80,1
6,790,15,0
10,1048,0,0
23,172,6,0
21,398,51,1
10,432,18,1
16,983,90,0
8,715,51,0
10,470,46,0
11,682,148,1
27,1251,67,0
11,83,4,0
30,367,2,0
17,2052,77,1
31,255,10,1
19,66,3,1
33,510,30,1
25,1442,69,1
7,154,9,1
31,2206,164,0
13,320,23,1
10,307,7,1
9,295,22,1
13,84,2,1
16,210,15,1
28,229,5,1
35,1029,62,0
27,145,16,1
11,17,0,1
38,940,52,1
13,223,12,0
17,259,15,0
14,1344,66,0
22,1594,40,1
7,536,56,0
30,21,1,0
9,1584,11,1
15,833,42,1
7,467,19,0
21,95,4,0
11,277,12,1
21,696,24,0
13,91,5,0
12,73,4,1
23,963,28,0
17,135,12,0
25,351,6,1
7,772,51,0
14,568,51,0
12,1181,12,1
31,1047,20,0
10,892,75,0
11,1280,43,1
15,600,30,0
7,1037,162,0
29,635,74,1
7,156,30,0
18,66,1,1
10,157,9,0
10,1454,54,0
15,376,63,0
20,0,0,1
45,385,11,1
13,47,8,1
16,505,28,1
12,4,1,1
13,72,10,1
30,51,8,1
38,17,6,1
7,822,19,0
15,980,28,1
8,739,22,0
19,213,35,1
8,254,6,0
34,2410,46,0
10,181,1,1
8,226,1,1
12,845,13,1
10,158,10,0
33,0,0,1
14,206,12,0
20,0,0,0
11,1063,53,1
26,0,0,1
12,2002,198,0
17,2159,160,0
23,4323,171,0
19,279,6,1
9,55,5,0
26,97,3,1
21,4,0,0
22,38,3,0
36,72,12,1
27,10,1,1
53,2468,0,0
11,325,9,0
21,416,63,1
17,683,49,0
17,815,28,0
22,312,39,0
15,587,9,0
11,393,24,1
7,225,11,0
24,10,0,0
7,1272,30,0
28,374,15,1
12,104,2,0
15,872,22,1
26,324,6,0
17,75,1,1
24,852,135,0
28,1137,52,0
18,174,9,1
18,674,19,1
11,501,74,0
34,18,0,1
13,275,13,1
6,173,12,0
24,202,12,1
12,1257,75,1
46,14,0,0
13,1059,0,1
25,17,11,1
33,166,11,1
13,214,20,0
46,345,17,0
24,474,11,1
12,493,0,0
42,154,13,0
17,660,0,0
25,42,4,0
15,1011,113,0
18,205,17,0
15,204,2,0
15,411,22,1
27,552,26,0
6,358,14,1
10,326,0,1
8,123,1,0
11,1012,53,1
23,574,48,0
11,514,80,1
17,36,6,1
27,436,36,1
17,999,54,1
13,647,12,1
9,3794,246,1
26,118,10,1
7,919,30,0
13,665,47,1
17,136,5,1
17,445,17,0
36,185,4,0
20,539,32,0
12,96,5,1
12,471,38,1
25,33,1,1
10,2470,192,0
14,502,0,1
18,1052,43,0
13,289,17,0
39,93,7,0
16,380,35,0
8,1224,71,0
29,794,26,0
15,1407,27,1
19,1179,62,0
19,935,12,1
23,296,14,0
36,283,49,0
11,544,10,0
17,537,22,0
15,552,47,1
21,2015,143,0
18,501,20,0
22,116,16,0
13,385,15,0
10,89,15,0
11,157,12,0
10,1159,0,0
20,100,8,1
7,160,4,1
18,1606,60,0
33,471,21,1
25,742,19,0
10,148,4,1
26,5,0,1
11,834,38,1
14,1237,40,1
20,301,18,0
11,334,38,0
11,1,0,1
33,40,1,1
11,1041,28,1
8,87,3,0
19,25,0,1
19,68,3,1
14,323,14,1
15,990,55,1
12,1071,17,1
16,1232,60,0
15,294,26,1
32,406,11,0
12,44,7,0
7,783,40,1
38,1946,94,1
32,562,34,0
12,14,4,1
11,156,13,0
21,246,8,0
12,504,40,0
9,296,10,1
11,0,0,1
11,419,29,1
16,205,5,1
19,115,11,0
20,465,14,0
13,307,28,1
22,7,0,0
18,85,6,0
12,365,0,1
19,117,4,1
12,130,16,1
56,-1,0,0
38,527,43,0
15,860,0,1
13,222,4,0
13,483,19,0
18,290,15,0
11,174,25,1
14,0,0,1
19,100,5,0
31,1100,47,0
18,400,24,0
11,372,23,0
19,446,12,0
29,212,12,0
13,178,7,0
55,31,3,0
22,327,38,1
7,91,23,1
11,77,0,1
29,312,34,0
15,211,22,1
29,101,8,1
24,41,7,0
33,775,17,1
26,48,3,1
8,283,12,0
11,25,0,0
44,115,10,1
12,223,36,1
20,147,7,0
41,311,16,0
11,31,4,1
11,1875,60,1
15,107,0,0
21,269,9,0
16,158,4,1
11,100,10,1
18,540,35,0
17,364,29,0
8,566,91,0
9,1306,18,1
12,592,41,1
16,719,66,1
27,63,4,0
7,245,8,0
22,120,8,1
31,170,16,1
31,194,1,1
14,459,50,1
7,1446,65,0
17,13,4,1
33,328,18,1
15,267,1,0
13,50,0,1
32,148,23,1
21,368,42,0
33,153,6,1
13,447,22,0
12,196,16,1
11,139,0,1
12,22,1,0
29,14,1,1
11,539,4,0
18,355,0,0
13,262,8,0
37,542,19,0
21,78,5,1
19,1297,0,1
11,160,47,1
11,318,14,1
23,622,15,1
11,78,0,1
7,834,61,0
12,137,6,1
14,1067,10,1
12,921,37,0
28,9,0,1
13,323,6,1
7,1339,26,0
30,444,5,1
11,1696,69,0
29,111,5,1
10,98,9,1
7,150,10,0
6,571,14,0
6,129,7,0
21,20,3,0
10,882,107,1
11,15,0,1
34,634,18,1
6,654,68,1
24,1140,39,0
11,695,20,1
21,146,16,1
11,26,3,0
17,280,30,1
11,231,6,1
18,163,4,0
43,247,16,1
26,272,12,1
20,710,18,1
44,14,1,1
13,283,22,1
25,822,83,0
16,1173,25,1
21,381,16,0
23,1,0,1
20,48,0,1
12,545,25,0
17,106,13,0
9,522,12,1
13,1902,61,0
27,568,16,1
16,442,51,1
32,429,39,1
25,1611,87,0
16,718,62,0
16,0,0,1
38,1833,64,0
7,164,24,1
12,8,0,1
23,132,7,1
22,77,13,1
23,209,20,1
20,216,6,1
15,581,62,0
22,883,39,1
10,244,3,0
9,177,5,0
6,1172,55,1
17,593,32,1
21,367,16,0
15,159,22,1
21,209,20,1
19,636,20,0
35,46,4,0
29,194,11,0
14,91,6,1
24,14,0,0
20,659,36,0
29,309,8,0
17,168,4,0
47,2451,77,0
7,412,25,0
17,326,25,1
28,245,26,1
35,588,26,1
7,377,24,0
19,265,19,0
14,138,4,0
28,368,4,0
27,3583,36,0
14,729,25,1
24,82,12,1
13,2605,112,0
23,1113,39,1
48,3,5,0
11,1418,60,1
11,408,28,1
9,320,23,0
15,1232,87,0
25,205,23,0
20,561,35,1
12,895,0,1
26,83,11,1
24,213,16,0
18,523,26,1
28,122,3,1
23,328,19,0
19,263,17,0
10,951,23,0
19,153,6,1
50,296,11,1
33,10,2,1
7,533,29,0
9,126,2,0
11,343,15,1
14,55,8,1
13,1293,64,1
27,413,15,0
16,958,80,0
34,320,18,0
23,106,2,1
11,630,42,1
25,343,18,0
21,232,10,1
20,338,34,0
18,173,5,0
16,433,33,0
29,398,15,0
9,215,14,1
17,158,4,0
26,306,28,1
39,3168,50,0
41,469,20,0
23,2073,77,1
24,129,3,0
18,1543,77,1
10,0,0,1
18,344,28,1
17,342,8,0
14,50,2,1
11,642,104,1
13,1186,115,1
8,1863,31,0
25,76,10,0
23,539,21,0
13,763,18,0
26,282,22,0
27,547,63,0
9,21,0,0
19,291,11,1
14,106,12,1
7,1149,91,0
35,604,22,1
11,636,2,1
18,448,17,0
8,232,8,0
13,249,12,0
37,11,0,0
8,2547,144,1
13,407,5,1
15,971,35,1
12,629,0,1
14,113,16,1
15,56,2,0
13,1188,41,1
22,491,17,1
23,93,2,1
8,923,89,0
22,981,28,0
6,196,7,1
29,301,27,0
13,0,0,1
18,382,12,1
29,1224,46,0
10,482,3,1
22,207,8,1
35,28,0,0
18,745,46,0
14,449,10,0
9,592,72,0
16,676,16,0
7,418,26,0
12,57,0,1
12,311,21,1
27,72,3,1
20,346,47,1
38,357,21,1
8,954,203,0
11,298,10,0
16,549,28,0
47,1598,83,1
8,383,15,0
35,302,103,0
9,156,81,0
59,239,27,0
20,473,32,0
8,1895,114,1
12,663,30,1
28,0,0,0
10,807,53,1
11,1260,39,0
21,768,21,1
30,17,0,1
30,129,5,1
14,512,14,1
12,39,1,0
9,802,80,0
14,-1,0,1
11,365,36,1
27,700,75,0
27,160,15,1
27,294,18,1
9,94,11,1
31,5,0,1
8,328,30,1
9,374,28,0
10,216,15,1
7,606,15,0
17,9,0,0
14,613,14,1
21,271,13,1
24,234,3,0
7,584,27,0
14,390,20,0
11,231,21,1
30,466,38,0
13,81,0,1
16,1223,342,1
27,128,13,1
36,324,0,0
30,251,10,0
19,685,38,0
23,646,57,0
26,7,2,1
17,1331,73,1
6,1028,23,1
25,61,8,1
19,166,1,0
10,537,62,0
13,1114,68,0
7,150,42,1
19,413,8,0
17,984,104,0
17,200,13,0
11,263,23,0
6,444,29,0
22,65,3,1
11,1202,56,1
18,1406,155,1
11,584,28,0
9,318,20,1
33,493,13,0
23,72,6,1
26,229,16,0
12,903,57,1
16,57,0,1
28,168,5,1
14,762,43,1
21,531,27,0
32,656,0,0
13,-1,0,1
12,68,1,1
23,775,9,0
12,68,14,1
24,992,59,0
26,779,66,0
7,349,37,1
17,423,8,1
25,311,9,0
30,303,12,1
10,471,12,0
11,135,7,0
10,1731,32,0
19,504,16,0
11,40,1,1
13,502,28,1
39,478,16,0
21,614,38,1
18,719,6,0
7,525,33,1
20,242,19,0
7,994,21,1
28,259,26,1
11,567,19,0
9,136,18,0
28,1156,54,1
26,162,14,1
37,14,0,0
8,270,0,0
9,1880,26,0
10,92,9,0
31,140,9,1
23,361,16,0
16,1229,45,1
19,580,18,1
42,457,21,1
36,93,8,0
22,189,25,1
22,601,27,1
22,190,7,1
7,514,25,0
19,195,68,0
14,1250,65,0
14,344,21,1
7,377,20,0
15,1905,80,1
31,1538,51,1
19,104,10,0
14,124,10,1
43,211,9,0
22,8,0,1
11,690,41,1
14,114,5,1
25,374,15,0
20,51,4,1
23,314,9,1
14,213,9,0
10,297,17,0
37,1055,20,1
19,326,7,0
31,1209,61,1
12,640,42,1
35,274,18,0
17,320,28,0
33,2,1,0
11,425,3,1
20,816,0,0
16,59,14,1
20,2275,99,1
26,1238,58,1
11,57,8,1
16,848,25,0
14,28,2,1
17,94,3,0
25,431,30,0
13,1458,76,1
17,116,15,0
24,810,21,0
14,281,12,1
28,596,37,0
11,370,26,0
14,248,12,0
22,4,0,0
6,1723,77,1
37,432,39,0
17,456,17,1
21,102,4,1
35,1,0,1
11,1637,21,0
8,284,17,0
10,544,33,1
19,0,0,1
15,134,7,0
23,107,2,1
21,308,30,1
25,666,56,1
11,146,6,0
15,2311,66,0
17,92,0,1
14,599,51,0
43,58,15,0
23,79,6,0
17,125,2,0
36,259,17,1
33,29,0,0
9,987,83,0
12,346,3,1
7,360,54,1
10,464,8,0
12,1246,0,0
15,84,7,1
32,5,0,1
9,2114,192,0
6,1465,41,0
7,912,58,0
9,405,0,0
9,749,1,0
10,137,7,1
25,39,0,0
19,1438,67,1
10,72,3,1
23,235,29,1
14,928,34,1
23,373,18,0
23,427,27,1
19,301,10,0
16,640,63,0
6,1358,16,1
28,211,6,1
17,626,27,0
11,404,76,1
21,304,33,1
12,720,82,1
33,370,23,1
12,33,3,1
9,365,13,0
20,1075,9,1
8,1054,74,1
8,362,0,0
23,54,0,1
35,757,41,0
11,345,20,1
10,70,7,1
33,512,8,0
22,911,25,0
22,29,0,1
8,957,29,0
14,778,15,1
34,428,26,1
18,145,8,1
23,297,7,0
28,1154,108,1
19,218,15,1
25,221,13,1
51,514,12,0
23,144,6,1
26,528,21,1
17,107,5,0
23,407,0,1
29,1522,63,0
13,159,7,1
39,342,19,0
15,1280,47,1
10,536,0,1
7,594,46,0
35,515,35,0
20,827,19,0
23,107,10,1
11,988,27,1
21,285,23,1
12,655,48,1
31,127,8,1
8,8,1,0
20,479,31,0
11,133,11,1
8,430,47,1
16,207,5,0
38,48,1,1
16,47,9,1
25,32,3,1
9,386,17,0
25,274,23,1
11,1963,170,0
9,2524,110,0
48,751,26,0
15,649,22,0
23,294,15,1
13,669,15,1
17,746,51,0
10,81,17,1
7,394,18,0
9,33,1,0
11,793,91,0
10,899,86,0
19,530,18,1
11,357,28,1
10,188,17,0
12,1589,160,1
15,52,5,1
17,584,46,1
21,304,24,1
15,444,13,1
12,1513,26,1
11,63,3,1
24,219,30,1
44,16,2,1
8,534,31,0
35,-1,0,1
18,184,33,1
19,215,7,0
12,1154,86,0
23,239,21,0
10,69,1,0
33,180,2,0
6,3,2,0
20,47,0,1
44,1156,4,0
12,158,9,0
23,206,14,1
42,620,45,1
35,575,31,1
26,372,15,0
12,1561,114,1
10,1794,31,0
31,808,1,1
17,23,6,1
24,209,5,0
19,1590,0,0
7,4,0,0
23,188,5,0
13,1257,73,1
6,1248,22,0
6,1050,42,1
27,178,14,1
19,1040,68,1
16,1044,19,1
6,445,6,0
13,499,88,0
31,717,28,0
17,595,41,0
21,996,78,1
14,780,26,0
11,342,5,1
11,1054,40,1
11,713,29,1
24,123,1,1
13,221,0,1
7,660,50,0
20,66,2,0
17,808,43,1
31,2033,122,0
10,581,53,0
15,444,20,1
8,390,21,0
35,118,12,1
28,156,9,0
15,541,29,1
19,97,3,1
29,247,15,0
21,247,10,0
11,431,24,0
25,123,8,1
7,787,42,0
14,561,0,0
48,18,0,0
12,662,52,1
17,646,48,1
13,5,0,1
13,816,2,1
15,58,1,0
24,1372,49,0
39,472,36,0
37,388,15,0
11,459,13,0
12,646,28,1
15,43,2,1
31,1110,59,0
28,6,3,1
30,29,1,0
33,343,14,1
17,273,8,1
22,90,6,1
25,535,26,1
19,838,56,0
19,304,18,0
20,28,4,1
17,928,99,1
22,957,38,0
11,768,6,0
37,116,11,1
10,682,26,0
7,227,6,0
33,498,6,1
28,389,32,0
22,488,21,1
33,327,15,0
18,294,13,1
25,48,0,0
18,719,43,1
11,97,8,1
12,229,13,1
15,121,7,1
19,550,29,1
16,709,92,1
34,26,2,0
38,606,14,0
11,464,11,1
17,7,1,0
19,18,0,0
20,335,3,1
13,533,39,0
13,90,4,1
23,406,26,1
12,1257,39,1
27,11,0,1
26,175,2,0
37,634,55,1
34,578,24,0
11,224,11,1
17,134,0,1
12,486,81,1
29,274,10,0
26,234,48,1
18,226,12,1
32,260,16,1
23,502,31,0
21,564,41,1
10,752,91,0
22,53,4,1
11,532,4,0
20,241,11,0
8,243,14,0
13,134,4,1
31,1071,144,0
7,400,28,0
11,1125,80,0
10,879,103,0
11,1324,0,1
27,324,8,0
21,58,0,0
30,265,27,0
26,92,8,1
22,352,26,0
21,339,20,0
15,32,5,1
12,331,19,1
27,282,6,1
22,886,5,0
24,174,11,0
28,590,43,0
26,91,14,1
27,182,3,1
13,286,10,0
15,995,17,0
21,255,5,0
17,513,16,0
14,885,0,0
7,684,95,0
51,65,0,1
25,14,0,0
11,606,35,0
25,188,10,0
11,42,1,1
7,4,0,0
20,13,1,1
22,184,5,1
35,68,5,0
51,74,4,1
18,64,1,1
11,138,19,1
12,2213,58,1
31,423,50,1
7,320,44,0
23,242,22,0
40,760,44,1
23,145,6,0
22,451,32,0
7,736,28,1
22,238,14,0
29,0,0,1
8,496,0,1
28,574,35,1
36,467,29,0
16,174,12,1
26,899,12,0
24,590,13,0
14,86,0,1
24,115,22,1
17,503,32,0
37,56,0,1
15,439,31,0
11,257,7,0
11,1869,134,1
10,336,10,1
7,143,8,0
18,174,0,1
15,941,54,0
16,1310,76,1
11,710,0,1
11,341,13,1
14,631,6,1
39,29,2,0
7,386,9,0
31,84,2,0
12,1450,99,0
10,2699,94,1
22,60,6,0
9,687,30,0
9,1421,110,1
19,145,5,1
34,713,0,1
13,410,4,1
20,673,14,0
13,1253,24,0
13,528,18,0
11,419,26,1
8,277,4,1
15,2249,127,0
11,492,13,0
11,217,3,0
39,1374,42,0
6,388,43,0
27,0,0,0
22,1668,61,0
17,190,10,0
18,1450,47,0
30,596,23,0
34,174,13,1
16,819,32,0
11,278,13,0
14,442,0,0
21,1150,51,0
12,365,28,1
39,237,10,0
17,1080,94,1
13,64,11,0
6,378,7,1
16,207,7,0
23,111,18,1
10,814,29,0
24,282,43,1
25,15,2,1
25,418,38,0
17,6,0,1
10,312,0,0
30,75,1,0
29,393,7,0
27,768,69,0
10,716,42,0
53,295,18,0
18,512,18,0
34,415,61,1
21,35,4,0
21,171,3,1
27,386,66,0
26,76,5,1
17,356,47,1
27,741,32,0
21,239,13,1
7,251,14,0
8,182,13,1
10,95,5,0
